Country,Pollution_Label,Pollution_Index,Pollution_Qualifier
Aruba,Water Pollution,38.64,Low
Aruba,Dissatisfaction with Spending Time in the City,29.55,Low
Aruba,Dissatisfaction with Green and Parks in the City,59.09,Moderate
Australia,Air Pollution,20.35,Low
Australia,Drinking Water Pollution and Inaccessibility,15.87,Very Low
Australia,Dissatisfaction with Garbage Disposal,26.09,Low
Australia,Dirty and Untidy,30.39,Low
Australia,Noise and Light Pollution,36.25,Low
Australia,Water Pollution,30.41,Low
Australia,Dissatisfaction with Spending Time in the City,19.92,Very Low
Australia,Dissatisfaction with Green and Parks in the City,20.46,Low
Austria,Air Pollution,20.59,Low
Austria,Drinking Water Pollution and Inaccessibility,8.14,Very Low
Austria,Dissatisfaction with Garbage Disposal,14.71,Very Low
Austria,Dirty and Untidy,17.26,Very Low
Austria,Noise and Light Pollution,33.78,Low
Austria,Water Pollution,12.76,Very Low
Austria,Dissatisfaction with Spending Time in the City,15.02,Very Low
Austria,Dissatisfaction with Green and Parks in the City,21.77,Low
Azerbaijan,Air Pollution,67.38,High
Azerbaijan,Drinking Water Pollution and Inaccessibility,59.18,Moderate
Azerbaijan,Dissatisfaction with Garbage Disposal,63.40,High
Azerbaijan,Dirty and Untidy,56.64,Moderate
Azerbaijan,Noise and Light Pollution,51.77,Moderate
Azerbaijan,Water Pollution,64.92,High
Azerbaijan,Dissatisfaction with Spending Time in the City,53.49,Moderate
Azerbaijan,Dissatisfaction with Green and Parks in the City,55.36,Moderate
Bahamas,Air Pollution,52.27,Moderate
Bahamas,Drinking Water Pollution and Inaccessibility,44.70,Moderate
Bahamas,Dissatisfaction with Garbage Disposal,71.21,High
Bahamas,Dirty and Untidy,65.15,High
Bahamas,Noise and Light Pollution,38.97,Low
Bahamas,Water Pollution,57.35,Moderate
Bahamas,Dissatisfaction with Spending Time in the City,47.06,Moderate
Bahamas,Dissatisfaction with Green and Parks in the City,50.00,Moderate
Bahrain,Air Pollution,73.94,High
Bahrain,Drinking Water Pollution and Inaccessibility,34.23,Low
Bahrain,Dissatisfaction with Garbage Disposal,51.17,Moderate
Bahrain,Dirty and Untidy,47.76,Moderate
Bahrain,Noise and Light Pollution,54.48,Moderate
Bahrain,Water Pollution,51.95,Moderate
Bahrain,Dissatisfaction with Spending Time in the City,63.92,High
Bahrain,Dissatisfaction with Green and Parks in the City,66.53,High
Bangladesh,Air Pollution,78.08,High
Bangladesh,Drinking Water Pollution and Inaccessibility,56.45,Moderate
Bangladesh,Dissatisfaction with Garbage Disposal,77.92,High
Bangladesh,Dirty and Untidy,76.98,High
Bangladesh,Noise and Light Pollution,62.96,High
Bangladesh,Water Pollution,73.75,High
Bangladesh,Dissatisfaction with Spending Time in the City,73.50,High
Bangladesh,Dissatisfaction with Green and Parks in the City,66.19,High
Barbados,Air Pollution,11.11,Very Low
Barbados,Drinking Water Pollution and Inaccessibility,9.38,Very Low
Barbados,Dissatisfaction with Garbage Disposal,32.14,Low
Barbados,Dirty and Untidy,46.88,Moderate
Barbados,Noise and Light Pollution,31.25,Low
Barbados,Water Pollution,37.50,Low
Barbados,Dissatisfaction with Spending Time in the City,15.62,Very Low
Barbados,Dissatisfaction with Green and Parks in the City,40.62,Moderate
Belarus,Air Pollution,42.33,Moderate
Belarus,Drinking Water Pollution and Inaccessibility,35.31,Low
Belarus,Dissatisfaction with Garbage Disposal,32.44,Low
Belarus,Dirty and Untidy,21.45,Low
Belarus,Noise and Light Pollution,45.62,Moderate
Belarus,Water Pollution,43.43,Moderate
Belarus,Dissatisfaction with Spending Time in the City,30.59,Low
Belarus,Dissatisfaction with Green and Parks in the City,33.23,Low
Belgium,Air Pollution,44.73,Moderate
Belgium,Drinking Water Pollution and Inaccessibility,29.61,Low
Belgium,Dissatisfaction with Garbage Disposal,45.89,Moderate
Belgium,Dirty and Untidy,53.28,Moderate
Belgium,Noise and Light Pollution,54.01,Moderate
Belgium,Water Pollution,40.45,Moderate
Belgium,Dissatisfaction with Spending Time in the City,36.46,Low
Belgium,Dissatisfaction with Green and Parks in the City,36.14,Low
Belize,Air Pollution,39.81,Low
Belize,Drinking Water Pollution and Inaccessibility,37.04,Low
Belize,Dissatisfaction with Garbage Disposal,67.59,High
Belize,Dirty and Untidy,58.65,Moderate
Belize,Noise and Light Pollution,42.59,Moderate
Belize,Water Pollution,61.54,High
Belize,Dissatisfaction with Spending Time in the City,37.96,Low
Belize,Dissatisfaction with Green and Parks in the City,45.00,Moderate
Benin,Air Pollution,87.50,Very High
Benin,Drinking Water Pollution and Inaccessibility,87.50,Very High
Benin,Dissatisfaction with Garbage Disposal,100.00,Very High
Benin,Dirty and Untidy,100.00,Very High
Benin,Noise and Light Pollution,75.00,High
Benin,Water Pollution,75.00,High
Benin,Dissatisfaction with Spending Time in the City,75.00,High
Benin,Dissatisfaction with Green and Parks in the City,50.00,Moderate
Bermuda,Air Pollution,10.94,Very Low
Bermuda,Drinking Water Pollution and Inaccessibility,13.24,Very Low
Bermuda,Dissatisfaction with Garbage Disposal,16.18,Very Low
Bermuda,Dirty and Untidy,17.65,Very Low
Bermuda,Noise and Light Pollution,10.29,Very Low
Bermuda,Water Pollution,16.18,Very Low
Bermuda,Dissatisfaction with Spending Time in the City,10.29,Very Low
Bermuda,Dissatisfaction with Green and Parks in the City,16.67,Very Low
Bhutan,Air Pollution,42.86,Moderate
Bhutan,Drinking Water Pollution and Inaccessibility,33.82,Low
Bhutan,Dissatisfaction with Garbage Disposal,50.00,Moderate
Bhutan,Dirty and Untidy,40.62,Moderate
Bhutan,Noise and Light Pollution,51.56,Moderate
Bhutan,Water Pollution,52.94,Moderate
Bhutan,Dissatisfaction with Spending Time in the City,37.50,Low
Bhutan,Dissatisfaction with Green and Parks in the City,17.19,Very Low
Bolivia,Air Pollution,65.00,High
Bolivia,Drinking Water Pollution and Inaccessibility,49.40,Moderate
Bolivia,Dissatisfaction with Garbage Disposal,67.07,High
Bolivia,Dirty and Untidy,67.78,High
Bolivia,Noise and Light Pollution,59.24,Moderate
Bolivia,Water Pollution,67.07,High
Bolivia,Dissatisfaction with Spending Time in the City,61.79,High
Bolivia,Dissatisfaction with Green and Parks in the City,45.45,Moderate
Bonaire,Air Pollution,?,
Bonaire,Drinking Water Pollution and Inaccessibility,?,
Bonaire,Dissatisfaction with Garbage Disposal,?,
Bonaire,Dirty and Untidy,?,
Bonaire,Noise and Light Pollution,?,
Bonaire,Water Pollution,?,
Bonaire,Dissatisfaction with Spending Time in the City,?,
Bonaire,Dissatisfaction with Green and Parks in the City,?,
Bosnia_And_Herzegovina,Air Pollution,62.20,High
Bosnia_And_Herzegovina,Drinking Water Pollution and Inaccessibility,29.21,Low
Bosnia_And_Herzegovina,Dissatisfaction with Garbage Disposal,51.07,Moderate
Bosnia_And_Herzegovina,Dirty and Untidy,49.87,Moderate
Bosnia_And_Herzegovina,Noise and Light Pollution,37.50,Low
Bosnia_And_Herzegovina,Water Pollution,45.43,Moderate
Bosnia_And_Herzegovina,Dissatisfaction with Spending Time in the City,47.26,Moderate
Bosnia_And_Herzegovina,Dissatisfaction with Green and Parks in the City,45.55,Moderate
Botswana,Air Pollution,36.36,Low
Botswana,Drinking Water Pollution and Inaccessibility,39.77,Low
Botswana,Dissatisfaction with Garbage Disposal,45.45,Moderate
Botswana,Dirty and Untidy,48.86,Moderate
Botswana,Noise and Light Pollution,26.14,Low
Botswana,Water Pollution,39.29,Low
Botswana,Dissatisfaction with Spending Time in the City,32.61,Low
Botswana,Dissatisfaction with Green and Parks in the City,70.00,High
Brazil,Air Pollution,42.49,Moderate
Brazil,Drinking Water Pollution and Inaccessibility,35.86,Low
Brazil,Dissatisfaction with Garbage Disposal,51.59,Moderate
Brazil,Dirty and Untidy,56.20,Moderate
Brazil,Noise and Light Pollution,53.62,Moderate
Brazil,Water Pollution,57.50,Moderate
Brazil,Dissatisfaction with Spending Time in the City,37.81,Low
Brazil,Dissatisfaction with Green and Parks in the City,44.82,Moderate
British_Virgin_Islands,Air Pollution,50.00,Moderate
British_Virgin_Islands,Drinking Water Pollution and Inaccessibility,25.00,Low
British_Virgin_Islands,Dissatisfaction with Garbage Disposal,87.50,Very High
British_Virgin_Islands,Dirty and Untidy,87.50,Very High
British_Virgin_Islands,Noise and Light Pollution,75.00,High
British_Virgin_Islands,Water Pollution,75.00,High
British_Virgin_Islands,Dissatisfaction with Spending Time in the City,62.50,High
British_Virgin_Islands,Dissatisfaction with Green and Parks in the City,62.50,High
Brunei,Air Pollution,22.50,Low
Brunei,Drinking Water Pollution and Inaccessibility,27.08,Low
Brunei,Dissatisfaction with Garbage Disposal,44.57,Moderate
Brunei,Dirty and Untidy,38.54,Low
Brunei,Noise and Light Pollution,25.00,Low
Brunei,Water Pollution,55.21,Moderate
Brunei,Dissatisfaction with Spending Time in the City,26.85,Low
Brunei,Dissatisfaction with Green and Parks in the City,30.68,Low
Bulgaria,Air Pollution,67.41,High
Bulgaria,Drinking Water Pollution and Inaccessibility,30.44,Low
Bulgaria,Dissatisfaction with Garbage Disposal,55.61,Moderate
Bulgaria,Dirty and Untidy,57.46,Moderate
Bulgaria,Noise and Light Pollution,50.53,Moderate
Bulgaria,Water Pollution,40.38,Moderate
Bulgaria,Dissatisfaction with Spending Time in the City,49.83,Moderate
Bulgaria,Dissatisfaction with Green and Parks in the City,33.51,Low
Burkina_Faso,Air Pollution,?,
Burkina_Faso,Drinking Water Pollution and Inaccessibility,?,
Burkina_Faso,Dissatisfaction with Garbage Disposal,?,
Burkina_Faso,Dirty and Untidy,?,
Burkina_Faso,Noise and Light Pollution,?,
Burkina_Faso,Water Pollution,?,
Burkina_Faso,Dissatisfaction with Spending Time in the City,?,
Burkina_Faso,Dissatisfaction with Green and Parks in the City,?,
Burundi,Air Pollution,70.00,High
Burundi,Drinking Water Pollution and Inaccessibility,75.00,High
Burundi,Dissatisfaction with Garbage Disposal,90.00,Very High
Burundi,Dirty and Untidy,75.00,High
Burundi,Noise and Light Pollution,93.75,Very High
Burundi,Water Pollution,85.00,Very High
Burundi,Dissatisfaction with Spending Time in the City,65.00,High
Burundi,Dissatisfaction with Green and Parks in the City,75.00,High
Cambodia,Air Pollution,67.63,High
Cambodia,Drinking Water Pollution and Inaccessibility,51.45,Moderate
Cambodia,Dissatisfaction with Garbage Disposal,74.40,High
Cambodia,Dirty and Untidy,74.12,High
Cambodia,Noise and Light Pollution,59.77,Moderate
Cambodia,Water Pollution,72.94,High
Cambodia,Dissatisfaction with Spending Time in the City,66.48,High
Cambodia,Dissatisfaction with Green and Parks in the City,63.11,High
Cameroon,Air Pollution,83.54,Very High
Cameroon,Drinking Water Pollution and Inaccessibility,72.73,High
Cameroon,Dissatisfaction with Garbage Disposal,88.33,Very High
Cameroon,Dirty and Untidy,78.12,High
Cameroon,Noise and Light Pollution,58.06,Moderate
Cameroon,Water Pollution,91.38,Very High
Cameroon,Dissatisfaction with Spending Time in the City,77.63,High
Cameroon,Dissatisfaction with Green and Parks in the City,66.07,High
Canada,Air Pollution,23.33,Low
Canada,Drinking Water Pollution and Inaccessibility,17.86,Very Low
Canada,Dissatisfaction with Garbage Disposal,25.75,Low
Canada,Dirty and Untidy,33.55,Low
Canada,Noise and Light Pollution,41.26,Moderate
Canada,Water Pollution,34.77,Low
Canada,Dissatisfaction with Spending Time in the City,20.18,Low
Canada,Dissatisfaction with Green and Parks in the City,23.04,Low
Cape_Verde,Air Pollution,75.00,High
Cape_Verde,Drinking Water Pollution and Inaccessibility,50.00,Moderate
Cape_Verde,Dissatisfaction with Garbage Disposal,75.00,High
Cape_Verde,Dirty and Untidy,25.00,Low
Cape_Verde,Noise and Light Pollution,100.00,Very High
Cape_Verde,Water Pollution,75.00,High
Cape_Verde,Dissatisfaction with Spending Time in the City,50.00,Moderate
Cape_Verde,Dissatisfaction with Green and Parks in the City,100.00,Very High
Cayman_Islands,Air Pollution,14.47,Very Low
Cayman_Islands,Drinking Water Pollution and Inaccessibility,18.42,Very Low
Cayman_Islands,Dissatisfaction with Garbage Disposal,39.47,Low
Cayman_Islands,Dirty and Untidy,25.00,Low
Cayman_Islands,Noise and Light Pollution,14.47,Very Low
Cayman_Islands,Water Pollution,31.58,Low
Cayman_Islands,Dissatisfaction with Spending Time in the City,11.84,Very Low
Cayman_Islands,Dissatisfaction with Green and Parks in the City,43.42,Moderate
Central_African_Republic,Air Pollution,75.00,High
Central_African_Republic,Drinking Water Pollution and Inaccessibility,75.00,High
Central_African_Republic,Dissatisfaction with Garbage Disposal,80.00,Very High
Central_African_Republic,Dirty and Untidy,75.00,High
Central_African_Republic,Noise and Light Pollution,40.00,Moderate
Central_African_Republic,Water Pollution,80.00,Very High
Central_African_Republic,Dissatisfaction with Spending Time in the City,60.00,High
Central_African_Republic,Dissatisfaction with Green and Parks in the City,80.00,Very High
Chad,Air Pollution,56.25,Moderate
Chad,Drinking Water Pollution and Inaccessibility,46.88,Moderate
Chad,Dissatisfaction with Garbage Disposal,56.25,Moderate
Chad,Dirty and Untidy,50.00,Moderate
Chad,Noise and Light Pollution,34.38,Low
Chad,Water Pollution,40.62,Moderate
Chad,Dissatisfaction with Spending Time in the City,56.25,Moderate
Chad,Dissatisfaction with Green and Parks in the City,56.25,Moderate
Chile,Air Pollution,76.96,High
Chile,Drinking Water Pollution and Inaccessibility,42.39,Moderate
Chile,Dissatisfaction with Garbage Disposal,60.04,High
Chile,Dirty and Untidy,64.54,High
Chile,Noise and Light Pollution,60.47,High
Chile,Water Pollution,62.20,High
Chile,Dissatisfaction with Spending Time in the City,65.19,High
Chile,Dissatisfaction with Green and Parks in the City,60.60,High
China,Air Pollution,79.24,High
China,Drinking Water Pollution and Inaccessibility,54.29,Moderate
China,Dissatisfaction with Garbage Disposal,48.41,Moderate
China,Dirty and Untidy,47.28,Moderate
China,Noise and Light Pollution,55.38,Moderate
China,Water Pollution,63.58,High
China,Dissatisfaction with Spending Time in the City,69.43,High
China,Dissatisfaction with Green and Parks in the City,39.14,Low
Colombia,Air Pollution,62.71,High
Colombia,Drinking Water Pollution and Inaccessibility,27.27,Low
Colombia,Dissatisfaction with Garbage Disposal,50.16,Moderate
Colombia,Dirty and Untidy,54.82,Moderate
Colombia,Noise and Light Pollution,56.37,Moderate
Colombia,Water Pollution,51.57,Moderate
Colombia,Dissatisfaction with Spending Time in the City,52.62,Moderate
Colombia,Dissatisfaction with Green and Parks in the City,42.63,Moderate
Comoros,Air Pollution,?,
Comoros,Drinking Water Pollution and Inaccessibility,?,
Comoros,Dissatisfaction with Garbage Disposal,?,
Comoros,Dirty and Untidy,?,
Comoros,Noise and Light Pollution,?,
Comoros,Water Pollution,?,
Comoros,Dissatisfaction with Spending Time in the City,?,
Comoros,Dissatisfaction with Green and Parks in the City,?,
Cook_Islands,Air Pollution,0.00,Very Low
Cook_Islands,Drinking Water Pollution and Inaccessibility,0.00,Very Low
Cook_Islands,Dissatisfaction with Garbage Disposal,25.00,Low
Cook_Islands,Dirty and Untidy,0.00,Very Low
Cook_Islands,Noise and Light Pollution,0.00,Very Low
Cook_Islands,Water Pollution,25.00,Low
Cook_Islands,Dissatisfaction with Spending Time in the City,25.00,Low
Cook_Islands,Dissatisfaction with Green and Parks in the City,0.00,Very Low
Costa_Rica,Air Pollution,34.25,Low
Costa_Rica,Drinking Water Pollution and Inaccessibility,15.07,Very Low
Costa_Rica,Dissatisfaction with Garbage Disposal,46.32,Moderate
Costa_Rica,Dirty and Untidy,52.24,Moderate
Costa_Rica,Noise and Light Pollution,45.52,Moderate
Costa_Rica,Water Pollution,40.53,Moderate
Costa_Rica,Dissatisfaction with Spending Time in the City,35.29,Low
Costa_Rica,Dissatisfaction with Green and Parks in the City,38.06,Low
Croatia,Air Pollution,28.88,Low
Croatia,Drinking Water Pollution and Inaccessibility,13.54,Very Low
Croatia,Dissatisfaction with Garbage Disposal,42.17,Moderate
Croatia,Dirty and Untidy,31.85,Low
Croatia,Noise and Light Pollution,34.14,Low
Croatia,Water Pollution,25.45,Low
Croatia,Dissatisfaction with Spending Time in the City,18.67,Very Low
Croatia,Dissatisfaction with Green and Parks in the City,27.05,Low
Cuba,Air Pollution,61.25,High
Cuba,Drinking Water Pollution and Inaccessibility,54.49,Moderate
Cuba,Dissatisfaction with Garbage Disposal,61.54,High
Cuba,Dirty and Untidy,56.88,Moderate
Cuba,Noise and Light Pollution,36.88,Low
Cuba,Water Pollution,53.85,Moderate
Cuba,Dissatisfaction with Spending Time in the City,53.75,Moderate
Cuba,Dissatisfaction with Green and Parks in the City,46.15,Moderate
Curacao,Air Pollution,62.50,High
Curacao,Drinking Water Pollution and Inaccessibility,8.33,Very Low
Curacao,Dissatisfaction with Garbage Disposal,38.89,Low
Curacao,Dirty and Untidy,63.89,High
Curacao,Noise and Light Pollution,20.00,Low
Curacao,Water Pollution,35.00,Low
Curacao,Dissatisfaction with Spending Time in the City,42.50,Moderate
Curacao,Dissatisfaction with Green and Parks in the City,72.22,High
Cyprus,Air Pollution,47.38,Moderate
Cyprus,Drinking Water Pollution and Inaccessibility,43.81,Moderate
Cyprus,Dissatisfaction with Garbage Disposal,49.13,Moderate
Cyprus,Dirty and Untidy,51.97,Moderate
Cyprus,Noise and Light Pollution,48.45,Moderate
Cyprus,Water Pollution,40.40,Moderate
Cyprus,Dissatisfaction with Spending Time in the City,45.16,Moderate
Cyprus,Dissatisfaction with Green and Parks in the City,62.06,High
Czech_Republic,Air Pollution,34.54,Low
Czech_Republic,Drinking Water Pollution and Inaccessibility,15.75,Very Low
Czech_Republic,Dissatisfaction with Garbage Disposal,25.73,Low
Czech_Republic,Dirty and Untidy,34.58,Low
Czech_Republic,Noise and Light Pollution,42.92,Moderate
Czech_Republic,Water Pollution,27.68,Low
Czech_Republic,Dissatisfaction with Spending Time in the City,23.16,Low
Czech_Republic,Dissatisfaction with Green and Parks in the City,23.28,Low
Democratic_Republic_of_the_Congo,Air Pollution,62.50,High
Democratic_Republic_of_the_Congo,Drinking Water Pollution and Inaccessibility,79.17,High
Democratic_Republic_of_the_Congo,Dissatisfaction with Garbage Disposal,90.00,Very High
Democratic_Republic_of_the_Congo,Dirty and Untidy,87.50,Very High
Democratic_Republic_of_the_Congo,Noise and Light Pollution,50.00,Moderate
Democratic_Republic_of_the_Congo,Water Pollution,87.50,Very High
Democratic_Republic_of_the_Congo,Dissatisfaction with Spending Time in the City,66.67,High
Democratic_Republic_of_the_Congo,Dissatisfaction with Green and Parks in the City,75.00,High
Denmark,Air Pollution,16.95,Very Low
Denmark,Drinking Water Pollution and Inaccessibility,12.15,Very Low
Denmark,Dissatisfaction with Garbage Disposal,19.02,Very Low
Denmark,Dirty and Untidy,24.76,Low
Denmark,Noise and Light Pollution,30.32,Low
Denmark,Water Pollution,17.56,Very Low
Denmark,Dissatisfaction with Spending Time in the City,13.24,Very Low
Denmark,Dissatisfaction with Green and Parks in the City,21.34,Low
Djibouti,Air Pollution,45.83,Moderate
Djibouti,Drinking Water Pollution and Inaccessibility,70.00,High
Djibouti,Dissatisfaction with Garbage Disposal,75.00,High
Djibouti,Dirty and Untidy,75.00,High
Djibouti,Noise and Light Pollution,20.83,Low
Djibouti,Water Pollution,54.17,Moderate
Djibouti,Dissatisfaction with Spending Time in the City,58.33,Moderate
Djibouti,Dissatisfaction with Green and Parks in the City,80.00,Very High
Dominica,Air Pollution,18.75,Very Low
Dominica,Drinking Water Pollution and Inaccessibility,12.50,Very Low
Dominica,Dissatisfaction with Garbage Disposal,37.50,Low
Dominica,Dirty and Untidy,25.00,Low
Dominica,Noise and Light Pollution,12.50,Very Low
Dominica,Water Pollution,6.25,Very Low
Dominica,Dissatisfaction with Spending Time in the City,12.50,Very Low
Dominica,Dissatisfaction with Green and Parks in the City,31.25,Low
Dominican_Republic,Air Pollution,62.50,High
Dominican_Republic,Drinking Water Pollution and Inaccessibility,59.07,Moderate
Dominican_Republic,Dissatisfaction with Garbage Disposal,71.14,High
Dominican_Republic,Dirty and Untidy,70.41,High
Dominican_Republic,Noise and Light Pollution,63.18,High
Dominican_Republic,Water Pollution,67.45,High
Dominican_Republic,Dissatisfaction with Spending Time in the City,57.88,Moderate
Dominican_Republic,Dissatisfaction with Green and Parks in the City,50.93,Moderate
Ecuador,Air Pollution,53.02,Moderate
Ecuador,Drinking Water Pollution and Inaccessibility,37.88,Low
Ecuador,Dissatisfaction with Garbage Disposal,52.11,Moderate
Ecuador,Dirty and Untidy,54.08,Moderate
Ecuador,Noise and Light Pollution,56.85,Moderate
Ecuador,Water Pollution,56.53,Moderate
Ecuador,Dissatisfaction with Spending Time in the City,48.25,Moderate
Ecuador,Dissatisfaction with Green and Parks in the City,36.68,Low
Egypt,Air Pollution,73.07,High
Egypt,Drinking Water Pollution and Inaccessibility,56.79,Moderate
Egypt,Dissatisfaction with Garbage Disposal,81.58,Very High
Egypt,Dirty and Untidy,76.09,High
Egypt,Noise and Light Pollution,65.43,High
Egypt,Water Pollution,71.14,High
Egypt,Dissatisfaction with Spending Time in the City,67.40,High
Egypt,Dissatisfaction with Green and Parks in the City,73.47,High
El_Salvador,Air Pollution,65.62,High
El_Salvador,Drinking Water Pollution and Inaccessibility,58.33,Moderate
El_Salvador,Dissatisfaction with Garbage Disposal,67.31,High
El_Salvador,Dirty and Untidy,71.15,High
El_Salvador,Noise and Light Pollution,56.48,Moderate
El_Salvador,Water Pollution,69.00,High
El_Salvador,Dissatisfaction with Spending Time in the City,60.00,High
El_Salvador,Dissatisfaction with Green and Parks in the City,63.89,High
Equatorial_Guinea,Air Pollution,46.43,Moderate
Equatorial_Guinea,Drinking Water Pollution and Inaccessibility,57.14,Moderate
Equatorial_Guinea,Dissatisfaction with Garbage Disposal,60.71,High
Equatorial_Guinea,Dirty and Untidy,57.14,Moderate
Equatorial_Guinea,Noise and Light Pollution,64.29,High
Equatorial_Guinea,Water Pollution,42.86,Moderate
Equatorial_Guinea,Dissatisfaction with Spending Time in the City,50.00,Moderate
Equatorial_Guinea,Dissatisfaction with Green and Parks in the City,60.71,High
Eritrea,Air Pollution,0.00,Very Low
Eritrea,Drinking Water Pollution and Inaccessibility,25.00,Low
Eritrea,Dissatisfaction with Garbage Disposal,0.00,Very Low
Eritrea,Dirty and Untidy,25.00,Low
Eritrea,Noise and Light Pollution,0.00,Very Low
